Date,Wheat,Milo,Corn,Beans
7/26/00,2.34,2.52,1.72,4.13
7/27/00,2.36,2.52,1.72,4.12
7/28/00,2.38,2.50,1.71,4.08
7/31/00,2.37,2.50,1.71,4.06
8/1/00,2.35,2.50,1.71,4.02
8/2/00,2.35,2.52,1.72,4.05
8/3/00,2.31,2.50,1.71,3.98
8/4/00,2.30,2.54,1.71,3.97
8/7/00,2.26,2.52,1.70,3.94
8/8/00,2.28,2.57,1.72,4.01
8/9/00,2.27,2.53,1.71,4.01
8/10/00,2.27,2.52,1.71,4.06
8/11/00,2.30,2.50,1.69,4.11
8/14/00,2.32,2.52,1.70,4.14
8/15/00,2.35,2.52,1.70,4.16
8/16/00,2.37,2.56,1.72,4.24
8/17/00,2.34,2.55,1.71,4.18
8/18/00,2.36,2.52,1.69,4.16
8/21/00,2.33,2.50,1.68,4.20
8/22/00,2.32,2.50,1.68,4.16
8/23/00,2.31,2.48,1.67,4.17
8/24/00,2.39,2.50,1.68,4.19
8/25/00,2.44,2.52,1.69,4.19
8/28/00,2.46,2.57,1.72,4.28
8/29/00,2.50,2.64,1.76,4.43
8/30/00,2.47,2.57,1.72,4.36
8/31/00,2.51,2.63,1.75,4.49
9/1/00,2.51,2.56,1.70,4.48
9/5/00,2.52,2.63,1.74,4.53
9/6/00,2.47,2.55,1.69,4.36
9/7/00,2.46,2.55,1.68,4.31
9/8/00,2.48,2.59,1.71,4.46
9/11/00,2.51,2.57,1.71,4.47
9/12/00,2.49,2.75,1.69,4.47
9/13/00,2.47,2.70,1.67,4.41
9/14/00,2.44,2.67,1.65,4.35
9/15/00,2.42,2.64,1.65,4.25
9/18/00,2.46,2.67,1.68,4.35
9/19/00,2.40,2.64,1.65,4.41
9/20/00,2.38,2.64,1.66,4.45
9/21/00,2.36,2.68,1.68,4.49
9/22/00,2.38,2.75,1.72,4.53
9/25/00,2.42,2.73,1.71,4.50
9/26/00,2.45,2.77,1.73,4.53
9/27/00,2.57,2.77,1.74,4.55
9/28/00,2.60,2.84,1.78,4.57
9/29/00,2.71,2.88,1.80,4.50
10/2/00,2.72,2.90,1.82,4.49
10/3/00,2.72,3.00,1.90,4.48
10/4/00,2.71,3.00,1.90,4.43
10/5/00,2.71,3.00,1.90,4.42
10/6/00,2.76,3.00,1.90,4.42
10/9/00,2.76,2.96,1.89,4.40
10/10/00,2.84,3.00,1.91,4.43
10/11/00,2.86,3.02,1.92,4.35
10/12/00,2.88,3.09,1.96,4.31
10/13/00,2.82,3.09,1.97,4.23
10/16/00,2.86,3.07,1.96,4.22
10/17/00,2.82,3.09,1.97,4.25
10/18/00,2.75,3.09,1.98,4.25
10/19/00,2.71,3.09,1.98,4.29
10/20/00,2.71,3.09,1.97,4.26
10/23/00,2.68,3.03,1.95,4.20
10/24/00,2.7,3.11,2.00,4.25
10/25/00,2.68,3.09,1.99,4.25
10/26/00,2.69,3.07,1.98,4.19
10/27/00,2.74,3.05,1.97,4.15
10/30/00,2.72,3.05,1.97,4.15
10/31/00,2.72,3.14,2.02,4.19
11/1/00,2.72,3.14,2.02,4.22
11/2/00,2.79,3.27,2.08,4.32
11/3/00,2.85,3.28,2.09,4.33
11/6/00,2.83,3.30,2.11,4.34
11/7/00,2.82,3.32,2.12,4.35
11/8/00,2.83,3.34,2.13,4.34
11/9/00,2.76,3.30,2.11,4.27
11/10/00,2.74,3.26,2.09,4.23
11/13/00,2.75,3.25,2.08,4.28
11/14/00,2.75,3.21,2.06,4.30
11/15/00,2.74,3.19,2.05,4.34
11/16/00,2.75,3.21,2.07,4.31
11/17/00,2.77,3.27,2.09,4.42
11/20/00,2.77,3.27,2.09,4.45
11/21/00,2.77,3.27,2.09,4.41
11/22/00,2.80,3.25,2.08,4.44
11/24/00,2.85,3.27,2.09,4.49
11/27/00,2.82,3.26,2.08,4.45
11/28/00,2.78,3.22,2.06,4.51
11/29/00,2.73,3.16,2.03,4.52
11/30/00,2.76,3.25,2.09,4.59
12/1/00,2.79,3.27,2.10,4.68
12/4/00,2.80,3.24,2.09,4.65
12/5/00,2.77,3.27,2.09,4.61
12/6/00,2.76,3.26,2.08,4.67
12/7/00,2.71,3.18,2.05,4.63
12/8/00,2.73,3.25,2.09,4.72
12/11/00,2.70,3.21,2.07,4.71
12/12/00,2.69,3.20,2.06,4.64
12/13/00,2.69,3.22,2.07,4.65
12/14/00,2.68,3.25,2.08,4.62
12/15/00,2.67,3.23,2.08,4.65
12/18/00,2.71,3.32,2.13,4.67
12/19/00,2.76,3.37,2.16,4.70
12/20/00,2.76,3.35,2.15,4.66
12/21/00,2.83,3.50,2.16,4.68
12/22/00,2.86,3.51,2.17,4.68
12/26/00,2.84,3.51,2.17,4.63
12/27/00,2.82,3.57,2.19,4.56
12/28/00,2.81,3.59,2.20,4.55
12/29/00,2.90,3.64,2.22,4.63
1/2/01,2.86,3.56,2.17,4.58
1/3/01,2.90,3.60,2.20,4.60
1/4/01,2.92,3.60,2.20,4.54
1/5/01,2.92,3.54,2.16,4.51
1/8/01,2.91,3.52,2.16,4.53
1/9/01,2.94,3.55,2.18,4.56
1/10/01,2.97,3.58,2.20,4.51
1/11/01,2.98,3.46,2.13,4.38
1/12/01,2.98,3.40,2.10,4.34
1/16/01,2.94,3.34,2.07,4.30
1/17/01,2.91,3.36,2.04,4.25
1/18/01,2.92,3.37,2.08,4.25
1/19/01,2.93,3.34,2.05,4.24
1/22/01,2.93,3.34,2.05,4.30
1/23/01,2.94,3.32,2.04,4.22
1/24/01,2.94,3.36,2.06,4.24
1/25/01,2.90,3.32,2.04,4.20
1/26/01,2.87,3.25,2.00,4.14
1/29/01,2.77,3.23,1.99,4.13
1/30/01,2.77,3.25,2.00,4.14
1/31/01,2.80,3.27,2.00,4.13
2/1/01,2.78,3.31,2.02,4.16
2/2/01,2.80,3.35,2.04,4.21
2/5/01,2.79,3.34,2.04,4.17
2/6/01,2.77,3.37,2.06,4.18
2/7/01,2.77,3.35,2.05,4.17
2/8/01,2.76,3.32,2.03,4.06
2/9/01,2.76,3.32,2.03,4.10
2/12/01,2.72,3.32,2.03,4.07
2/13/01,2.73,3.32,2.03,4.04
2/14/01,2.78,3.38,2.06,4.06
2/15/01,2.79,3.36,2.05,4.04
2/16/01,2.77,3.36,2.05,4.08
2/20/01,2.80,3.36,2.06,4.08
2/21/01,2.78,3.34,2.05,4.12
2/22/01,2.78,3.33,2.04,4.09
2/23/01,2.77,3.33,2.04,4.02
2/26/01,2.78,3.34,2.06,4.01
2/27/01,2.77,3.37,2.11,4.06
2/28/01,2.83,3.44,2.15,4.11
3/1/01,2.84,3.46,2.16,4.15
3/2/01,2.86,3.45,2.15,4.10
3/5/01,2.91,3.45,2.17,4.12
3/6/01,2.91,3.45,2.17,4.17
3/7/01,2.89,3.40,2.14,4.13
3/8/01,2.89,3.40,2.14,4.11
3/9/01,2.89,3.40,2.14,4.12
3/12/01,2.95,3.43,2.15,4.11
3/13/01,2.96,3.43,2.15,4.07
3/14/01,2.94,3.38,2.12,3.96
3/15/01,2.85,3.25,2.05,3.98
3/16/01,2.81,3.20,2.02,3.95
3/19/01,2.78,3.22,2.03,3.96
3/20/01,2.80,3.27,2.05,3.99
3/21/01,2.76,3.27,2.05,3.95
3/22/01,2.70,3.18,2.00,3.86
3/23/01,2.73,3.23,2.02,3.90
3/26/01,2.77,3.28,2.05,3.96
3/27/01,2.78,3.30,2.06,3.99
3/28/01,2.75,3.27,2.04,3.96
3/29/01,2.75,3.23,2.02,3.91
3/30/01,2.68,3.16,1.98,3.83
4/2/01,2.71,3.25,2.03,3.87
4/3/01,2.75,3.27,2.04,3.84
4/4/01,2.76,3.32,2.06,3.91
4/5/01,2.75,3.32,2.08,3.93
4/6/01,2.75,3.29,2.06,3.92
4/9/01,2.72,3.29,2.06,3.97
4/10/01,2.70,3.27,2.05,3.89
4/11/01,2.74,3.30,2.07,3.93
4/12/01,2.80,3.32,2.08,3.91
4/16/01,2.86,3.32,2.08,3.89
4/17/01,2.84,3.27,2.05,3.86
4/18/01,2.86,3.27,2.05,3.89
4/19/01,2.85,3.20,2.01,3.84
4/20/01,2.87,3.15,1.98,3.84
4/23/01,2.87,3.05,1.93,3.79
4/24/01,2.85,3.01,1.91,3.82
4/25/01,2.93,3.04,1.92,3.78
4/26/01,2.96,3.11,1.96,3.85
4/27/01,2.92,3.05,1.92,3.82
4/30/01,2.99,3.11,1.96,3.92
5/1/01,2.98,3.11,1.96,3.91
5/2/01,2.94,3.14,1.98,3.94
5/3/01,2.89,3.13,1.98,3.93
5/4/01,2.89,3.18,2.01,3.98
5/7/01,2.85,3.14,1.99,3.94
5/8/01,2.82,3.09,1.96,3.97
5/9/01,2.81,3.09,1.96,3.96
5/10/01,2.86,3.00,1.89,3.92
5/11/01,2.90,3.00,1.88,3.93
5/14/01,2.98,3.09,1.93,4.00
5/15/01,2.98,3.09,1.93,4.03
5/16/01,2.96,3.12,1.94,4.06
5/17/01,2.96,3.12,1.94,4.09
5/18/01,2.91,3.09,1.92,4.08
5/21/01,2.84,2.99,1.86,4.02
5/22/01,2.80,2.94,1.84,4.01
5/23/01,2.79,2.96,1.85,4.05
5/24/01,2.80,3.00,1.87,4.07
5/25/01,2.78,3.00,1.86,4.05
5/29/01,2.83,2.96,1.84,3.97
5/30/01,2.84,2.98,1.85,3.95
5/31/01,2.87,3.04,1.88,4.09
6/1/01,2.92,3.16,1.94,4.13
6/4/01,2.84,3.10,1.91,4.11
6/5/01,2.78,3.10,1.93,4.11
6/6/01,2.77,3.16,1.96,4.19
6/7/01,2.81,3.16,1.96,4.19
6/8/01,2.82,3.14,1.95,4.24
6/11/01,2.79,3.18,1.98,4.29
6/12/01,2.81,3.15,1.97,4.31
6/13/01,2.80,3.13,1.97,4.31
6/14/01,2.75,3.09,1.95,4.28
6/15/01,2.71,3.02,1.91,4.16
6/18/01,2.76,3.02,1.91,4.21
6/19/01,2.77,3.06,1.93,4.27
6/20/01,2.74,3.00,1.90,4.23
6/21/01,2.70,2.96,1.88,4.18
6/22/01,2.67,2.95,1.92,4.12
6/25/01,2.61,2.90,1.90,4.08
6/26/01,2.64,2.91,1.91,4.14
6/27/01,2.64,2.96,1.94,4.19
6/28/01,2.60,2.98,1.95,4.20
6/29/01,2.60,2.98,1.95,4.40
7/2/01,2.61,3.02,1.97,4.46
7/3/01,2.62,3.07,2.02,4.47
7/5/01,2.65,3.14,2.06,4.50
7/6/01,2.65,3.17,2.12,4.50
7/9/01,2.62,3.24,2.16,4.59
7/10/01,2.63,3.32,2.22,4.65
7/11/01,2.65,3.46,2.28,4.70
7/12/01,2.76,3.56,2.34,4.82
7/13/01,2.76,3.46,2.28,4.82
7/16/01,2.73,3.32,2.20,4.70
7/17/01,2.77,3.48,2.28,4.82
7/18/01,2.76,3.33,2.20,4.69
7/19/01,2.75,3.36,2.20,4.68
7/20/01,2.71,3.21,2.13,4.46
7/23/01,2.72,3.21,2.13,4.58
7/24/01,2.71,3.32,2.20,4.56
7/25/01,2.73,3.40,2.24,4.65
7/26/01,2.71,3.37,2.23,4.65
7/27/01,2.69,3.45,2.26,4.74
7/30/01,2.64,3.39,2.14,4.63
7/31/01,2.66,3.41,2.21,4.73
8/1/01,2.64,3.35,2.15,4.68
8/2/01,2.61,3.32,2.13,4.54
8/3/01,2.57,3.27,2.08,4.47
8/6/01,2.58,3.30,2.10,4.57
8/7/01,2.58,3.30,2.10,4.57
8/8/01,2.58,3.40,2.14,4.66
8/9/01,2.60,3.44,2.16,4.69
8/10/01,2.60,3.48,2.17,4.76
8/13/01,2.60,3.54,2.20,4.82
8/14/01,2.56,3.48,2.16,4.71
8/15/01,2.54,3.44,2.16,4.74
8/16/01,2.55,3.39,2.14,4.61
8/17/01,2.56,3.37,2.13,4.63
8/20/01,2.54,3.31,2.10,4.49
8/21/01,2.55,3.36,2.13,4.51
8/22/01,2.56,3.36,2.15,4.46
8/23/01,2.60,3.41,2.18,4.42
8/24/01,2.59,3.30,2.15,4.25
8/27/01,2.58,3.39,2.18,4.41
8/28/01,2.55,3.36,2.16,4.38
8/29/01,2.58,3.39,2.18,4.45
8/30/01,2.56,3.37,2.18,4.40
8/31/01,2.58,3.41,2.20,4.45
9/4/01,2.57,3.39,2.21,4.47
9/5/01,2.56,3.36,2.20,4.41
9/6/01,2.52,3.28,2.16,4.35
9/7/01,2.50,3.29,2.16,4.33
9/10/01,2.51,3.30,2.17,4.33
9/13/01,2.51,3.36,2.20,4.45
9/14/01,2.44,3.25,2.16,4.36
9/17/01,2.45,3.30,2.14,4.52
9/18/01,2.44,3.25,2.13,4.47
9/19/01,2.43,3.20,2.10,4.42
9/20/01,2.44,3.25,2.18,4.46
9/21/01,2.44,3.21,2.16,4.42
9/24/01,2.43,3.23,2.17,4.40
9/25/01,2.46,3.23,2.17,4.28
9/26/01,2.46,3.30,2.20,4.29
9/27/01,2.49,3.29,2.15,4.26
9/28/01,2.47,3.27,2.18,4.15
10/1/01,2.40,3.20,2.14,4.14
10/2/01,2.35,3.17,2.13,4.11
10/3/01,2.40,3.21,2.15,4.10
10/4/01,2.43,3.27,2.16,4.09
10/5/01,2.42,3.33,2.18,4.10
10/8/01,2.43,3.37,2.20,4.12
10/9/01,2.42,3.32,2.17,4.10
10/10/01,2.50,3.40,2.20,4.06
10/11/01,2.52,3.43,2.20,4.07
10/12/01,2.47,3.35,2.16,3.96
10/15/01,2.45,3.30,2.12,3.87
10/16/01,2.51,3.32,2.13,3.88
10/17/01,2.58,3.33,2.14,3.92
10/18/01,2.57,3.29,2.13,3.90
10/19/01,2.62,3.30,2.14,3.84
10/22/01,2.58,3.25,2.12,3.80
10/23/01,2.60,3.25,2.12,3.80
10/24/01,2.60,3.28,2.14,3.83
10/25/01,2.64,3.24,2.14,3.86
10/26/01,2.70,3.22,2.13,3.84
10/29/01,2.68,3.19,2.11,3.84
10/30/01,2.70,3.23,2.14,3.90
10/31/01,2.70,3.22,2.13,3.87
11/1/01,2.65,3.20,2.12,3.93
11/2/01,2.63,3.16,2.10,3.90
11/5/01,2.65,3.18,2.11,3.93
11/6/01,2.66,3.18,2.11,3.88
11/7/01,2.68,3.18,2.11,3.93
11/8/01,2.65,3.18,2.11,3.90
11/9/01,2.64,3.24,2.14,3.96
11/12/01,2.61,3.24,2.14,4.01
11/13/01,2.56,3.22,2.13,3.99
11/14/01,2.57,3.26,2.15,4.03
11/15/01,2.59,3.26,2.14,4.02
11/16/01,2.65,3.27,2.16,4.08
11/19/01,2.65,3.30,2.18,4.07
11/20/01,2.63,3.30,2.18,4.04
11/21/01,2.65,3.30,2.18,4.05
11/23/01,2.66,3.29,2.17,4.06
11/26/01,2.59,3.21,2.13,3.96
11/27/01,2.60,3.21,2.13,3.99
11/28/01,2.57,3.13,2.08,3.91
11/29/01,2.56,3.14,2.09,3.92
11/30/01,2.62,3.30,2.18,4.00
12/3/01,2.62,3.32,2.19,4.01
12/4/01,2.62,3.32,2.19,4.01
12/5/01,2.60,3.29,2.21,4.01
12/6/01,2.57,3.25,2.19,4.00
12/7/01,2.59,3.30,2.21,4.03
12/10/01,2.57,3.30,2.21,4.01
12/11/01,2.57,3.30,2.21,3.95
12/12/01,2.55,3.24,2.17,3.90
12/13/01,2.53,3.24,2.17,3.91
12/14/01,2.57,3.25,2.17,3.93
12/17/01,2.56,3.22,2.16,3.94
12/18/01,2.56,3.20,2.15,3.89
12/19/01,2.59,3.20,2.15,3.91
12/20/01,2.54,3.16,2.13,3.91
12/21/01,2.53,3.15,2.12,3.90
12/26/01,2.52,3.09,2.10,3.82
12/27/01,2.55,3.11,2.12,3.82
12/28/01,2.59,3.11,2.12,3.79
12/31/01,2.57,3.10,2.11,3.75
1/2/02,2.57,3.10,2.12,3.71
1/3/02,2.62,3.13,2.14,3.76
1/4/02,2.65,3.13,2.14,3.77
1/7/02,2.65,3.15,2.15,3.83
1/8/02,2.65,3.16,2.15,3.87
1/9/02,2.64,3.13,2.13,3.92
1/10/02,2.64,3.11,2.12,3.85
1/11/02,2.67,3.18,2.16,3.96
1/14/02,2.69,3.14,2.14,4.00
1/15/02,2.67,3.18,2.16,3.99
1/16/02,2.62,3.21,2.18,4.05
1/17/02,2.70,3.20,2.17,4.04
1/18/02,2.68,3.18,2.15,3.99
1/22/02,2.65,3.14,2.13,3.93
1/23/02,2.64,3.13,2.12,3.88
1/24/02,2.66,3.14,2.13,3.91
1/25/02,2.70,3.12,2.12,3.85
1/28/02,2.63,3.11,2.10,3.86
1/29/02,2.61,3.07,2.08,3.84
1/30/02,2.58,3.07,2.09,3.83
1/31/02,2.61,3.07,2.09,3.85
2/1/02,2.61,3.05,2.08,3.82
2/4/02,2.59,3.07,2.09,3.89
2/5/02,2.60,3.07,2.09,3.88
2/6/02,2.59,3.03,2.07,3.83
2/7/02,2.61,3.04,2.07,3.86
2/8/02,2.62,3.05,2.08,3.85
2/11/02,2.61,3.05,2.08,3.87
2/12/02,2.61,3.07,2.09,3.92
2/13/02,2.61,3.13,2.12,3.96
2/14/02,2.61,3.09,2.10,3.92
2/15/02,2.58,3.05,2.08,3.93
2/19/02,2.60,3.07,2.09,3.94
2/20/02,2.62,3.09,2.10,4.00
2/21/02,2.62,3.09,2.10,3.99
2/22/02,2.64,3.06,2.08,3.96
2/25/02,2.63,3.02,2.05,3.95
2/26/02,2.61,3.00,2.03,3.95
2/27/02,2.62,3.09,2.05,4.01
2/28/02,2.59,3.11,2.06,3.93
3/1/02,2.62,3.13,2.07,4.05
3/4/02,2.61,3.09,2.04,4.04
3/5/02,2.65,3.12,2.06,4.11
3/6/02,2.65,3.09,2.05,4.08
3/7/02,2.63,3.09,2.05,4.10
3/8/02,2.62,3.09,2.05,4.18
3/11/02,2.59,3.12,2.07,4.18
3/12/02,2.60,3.14,2.08,4.17
3/13/02,2.61,3.07,2.04,4.16
3/14/02,2.61,3.09,2.05,4.23
3/15/02,2.63,3.05,2.03,4.26
3/18/02,2.60,3.05,2.03,4.14
3/19/02,2.61,3.07,2.04,4.18
3/20/02,2.56,3.05,2.02,4.12
3/21/02,2.60,3.05,2.03,4.12
3/22/02,2.58,3.03,2.02,4.17
3/25/02,2.60,3.02,2.01,4.15
3/26/02,2.63,3.04,2.02,4.20
3/27/02,2.69,3.05,2.03,4.25
3/28/02,2.66,3.00,2.01,4.28
4/1/02,2.72,3.02,2.01,4.28
4/2/02,2.73,3.02,2.01,4.25
4/3/02,2.74,2.98,1.98,4.14
4/4/02,2.73,2.98,1.98,4.13
4/5/02,2.68,2.97,1.97,4.20
4/8/02,2.62,2.98,1.99,4.11
4/9/02,2.57,2.98,1.99,4.14
4/10/02,2.58,2.96,1.98,4.14
4/11/02,2.56,2.94,1.97,4.12
4/12/02,2.58,2.93,1.96,4.15
4/15/02,2.59,2.89,1.94,4.11
4/16/02,2.64,2.92,1.96,4.18
4/17/02,2.69,2.96,1.98,4.27
4/18/02,2.66,2.93,1.96,4.24
4/19/02,2.65,2.91,1.95,4.26
4/22/02,2.61,2.95,1.97,4.25
4/23/02,2.58,2.95,1.97,4.28
4/24/02,2.56,2.93,1.96,4.33
4/25/02,2.51,2.91,1.95,4.28
4/26/02,2.50,2.89,1.94,4.22
4/29/02,2.47,2.84,1.91,4.16
4/30/02,2.50,2.86,1.92,4.16
5/1/02,2.54,2.90,1.96,4.14
5/2/02,2.48,2.86,1.94,4.14
5/3/02,2.50,2.86,1.95,4.10
5/6/02,2.51,2.85,1.95,4.15
5/7/02,2.52,2.93,1.99,4.18
5/8/02,2.51,2.93,1.98,4.25
5/9/02,2.51,2.95,1.99,4.29
5/10/02,2.49,2.95,1.99,4.24
5/13/02,2.54,3.11,2.08,4.30
5/14/02,2.54,3.12,2.09,4.28
5/15/02,2.57,3.12,2.10,4.34
5/16/02,2.51,3.05,2.09,4.37
5/17/02,2.49,2.97,2.06,4.40
5/20/02,2.52,3.03,2.09,4.43
5/21/02,2.49,3.02,2.08,4.42
5/22/02,2.48,2.96,2.05,4.45
5/23/02,2.52,2.96,2.05,4.44
5/24/02,2.49,2.93,2.03,4.44
5/28/02,2.51,2.98,2.06,4.50
5/29/02,2.56,3.05,2.10,4.49
5/30/02,2.56,3.07,2.11,4.54
5/31/02,2.62,3.10,2.13,4.61
6/3/02,2.72,3.04,2.09,4.59
6/4/02,2.69,3.05,2.10,4.63
6/5/02,2.72,3.04,2.09,4.67
6/6/02,2.73,3.02,2.08,4.66
6/7/02,2.69,3.00,2.06,4.63
6/10/02,2.69,3.00,2.06,4.56
6/11/02,2.70,2.96,2.03,4.57
6/12/02,2.76,3.03,2.06,4.49
6/13/02,2.84,3.13,2.11,4.57
6/14/02,2.86,3.08,2.09,4.53
6/17/02,2.81,3.06,2.08,4.55
6/18/02,2.82,3.05,2.07,4.50
6/19/02,2.87,3.09,2.09,4.50
6/20/02,2.90,3.11,2.10,4.46
6/21/02,2.91,3.15,2.10,4.56
6/24/02,2.96,3.29,2.18,4.66
6/25/02,2.95,3.32,2.20,4.64
6/26/02,2.96,3.37,2.26,4.75
6/27/02,3.05,3.45,2.30,4.90
6/28/02,3.03,3.43,2.30,5.07
7/1/02,3.10,3.56,2.37,5.20
7/2/02,3.13,3.47,2.30,5.11
7/3/02,3.13,3.39,2.27,5.16
7/5/02,3.19,3.50,2.33,5.23
7/8/02,3.17,3.36,2.24,5.20
7/9/02,3.23,3.42,2.28,5.30
7/10/02,3.27,3.35,2.24,5.28
7/11/02,3.27,3.26,2.19,5.32
7/12/02,3.22,3.24,2.18,5.35
